age,yearsmarried,children,religiousness_5,education,occupation_grade6,occupation_husb_grade6,rating_5,yrs_per_age,rate_x_yrs,weight,gender_male,gender_female,target
62.0,45.0,3.0,5.0,8.0,3.0,1.0,3.0,0.7258064516129032,135.0,-80.0,0.0,1.0,0.0
26.0,7.0,0.0,3.0,9.0,1.0,1.0,5.0,0.2692307692307692,90.0,-80.0,1.0,0.0,0.0
43.0,27.0,2.0,1.0,9.0,2.0,1.0,5.0,0.627906976744186,90.0,-80.0,0.0,1.0,1.0
78.0,60.0,7.0,5.0,8.0,2.0,1.0,5.0,0.7692307692307693,90.0,-80.0,0.0,1.0,0.0
50.0,25.0,4.0,3.0,9.0,5.0,1.0,5.0,0.5,125.0,-80.0,0.0,1.0,0.0
29.0,9.0,2.0,5.0,10.0,3.0,1.0,5.0,0.3103448275862069,90.0,-80.0,1.0,0.0,0.0
49.0,26.0,2.0,1.0,13.0,2.0,2.0,3.0,0.54,90.0,-80.0,0.0,1.0,0.0
42.0,24.0,2.0,2.0,12.0,1.0,1.0,5.0,0.5714285714285714,90.0,-80.0,0.0,1.0,0.0
76.0,52.0,3.0,4.0,8.0,2.0,1.0,5.0,0.6842105263157895,90.0,-80.0,0.0,1.0,0.0
69.0,49.0,0.0,5.0,12.0,3.0,1.0,5.0,0.7101449275362319,90.0,-80.0,0.0,1.0,0.0
44.0,19.0,0.0,3.0,10.0,1.0,2.0,5.0,0.4318181818181818,95.0,-80.0,0.0,1.0,0.0
50.0,24.0,5.0,3.0,13.0,2.0,1.0,5.0,0.48,120.0,-80.0,1.0,0.0,0.0
80.0,63.0,4.0,4.0,13.0,2.0,1.0,5.0,0.7875,90.0,-80.0,0.0,1.0,0.0
80.0,62.0,6.0,3.0,8.0,2.0,1.0,5.0,0.775,90.0,-80.0,0.0,1.0,0.0
42.0,23.0,5.0,3.0,12.0,3.0,1.0,5.0,0.5476190476190477,90.0,-80.0,0.0,1.0,1.0
24.0,1.0,1.0,2.0,10.0,1.0,2.0,3.0,0.0416666666666666,3.0,-80.0,0.0,1.0,1.0
82.0,64.0,2.0,4.0,9.0,1.0,1.0,5.0,0.7804878048780488,90.0,-80.0,0.0,1.0,0.0
70.0,54.0,3.0,1.0,9.0,2.0,1.0,5.0,0.7714285714285715,90.0,-80.0,0.0,1.0,0.0
49.0,27.0,3.0,3.0,12.0,3.0,1.0,5.0,0.5510204081632653,90.0,-80.0,1.0,0.0,0.0
36.0,17.0,2.0,1.0,12.0,3.0,2.0,5.0,0.4722222222222222,85.0,-80.0,0.0,1.0,1.0
38.0,20.0,3.0,2.0,12.0,4.0,2.0,3.0,0.5263157894736842,60.0,-80.0,0.0,1.0,0.0
71.0,51.0,3.0,3.0,12.0,3.0,1.0,5.0,0.7183098591549296,255.0,-80.0,1.0,0.0,0.0
53.0,34.0,3.0,1.0,12.0,2.0,1.0,5.0,0.6415094339622641,170.0,-80.0,1.0,0.0,0.0
27.0,1.0,0.0,4.0,13.0,6.0,4.0,5.0,0.037037037037037,5.0,-80.0,1.0,0.0,0.0
42.0,15.0,1.0,5.0,12.0,3.0,1.0,5.0,0.3571428571428571,90.0,-80.0,0.0,1.0,0.0
42.0,25.0,2.0,5.0,17.0,1.0,1.0,5.0,0.5952380952380952,90.0,-80.0,1.0,0.0,1.0
52.0,31.0,0.0,1.0,12.0,1.0,1.0,5.0,0.5961538461538461,90.0,-80.0,1.0,0.0,0.0
47.0,13.0,1.0,3.0,17.0,4.0,1.0,5.0,0.2765957446808511,90.0,-80.0,1.0,0.0,0.0
57.0,36.0,0.0,3.0,9.0,1.0,1.0,3.0,0.631578947368421,108.0,-80.0,0.0,1.0,0.0
54.0,38.0,5.0,4.0,13.0,3.0,4.0,5.0,0.7037037037037037,190.0,-80.0,0.0,1.0,0.0
31.0,8.0,1.0,1.0,10.0,3.0,2.0,5.0,0.2580645161290322,40.0,-80.0,1.0,0.0,0.0
46.0,28.0,2.0,1.0,8.0,2.0,1.0,5.0,0.6086956521739131,140.0,-80.0,1.0,0.0,0.0
35.0,16.0,2.0,1.0,16.0,4.0,4.0,5.0,0.4571428571428571,80.0,-80.0,0.0,1.0,0.0
71.0,50.0,1.0,3.0,14.0,4.0,4.0,5.0,0.704225352112676,250.0,-80.0,0.0,1.0,0.0
25.0,3.0,0.0,5.0,16.0,6.0,3.0,5.0,0.12,15.0,-80.0,0.0,1.0,0.0
39.0,18.0,2.0,5.0,16.0,3.0,4.0,5.0,0.4615384615384615,90.0,-80.0,0.0,1.0,0.0
30.0,8.0,2.0,5.0,14.0,4.0,4.0,5.0,0.2666666666666666,40.0,-80.0,0.0,1.0,0.0
25.0,2.0,0.0,3.0,16.0,3.0,2.0,5.0,0.08,10.0,-80.0,1.0,0.0,0.0
27.0,6.0,0.0,4.0,13.0,6.0,4.0,5.0,0.2222222222222222,30.0,-80.0,0.0,1.0,0.0
38.0,15.0,4.0,3.0,12.0,2.0,3.0,5.0,0.3947368421052631,75.0,-80.0,0.0,1.0,0.0
56.0,29.0,5.0,1.0,13.0,1.0,1.0,5.0,0.5178571428571429,90.0,-80.0,1.0,0.0,1.0
30.0,1.0,2.0,3.0,14.0,2.0,2.0,5.0,0.0333333333333333,5.0,-80.0,1.0,0.0,0.0
66.0,51.0,5.0,5.0,11.0,1.0,1.0,5.0,0.7727272727272727,90.0,-80.0,0.0,1.0,0.0
36.0,12.0,0.0,4.0,14.0,5.0,1.0,5.0,0.3333333333333333,90.0,-80.0,0.0,1.0,0.0
